rank,fitness_,ctk_string
149,2547.4874872471246,C[f(H2H2B4[t(B4H4HH6)]H2HH6BHH2)]
150,2546.9518247489495,C[f(B6[t(B4[t(BH)]B4)]H2H4)]<t(B[t(B2H)]B2)>
151,2546.718342009653,C[f(H4H4H6H2)]<t(B2[l(B2[r(B6[t(B4B6H4HB4)])]H6)])>
152,2546.6972783862066,C[r(B[b(B2[r(B2H2H2H6)]B[r(B4[r(B2[b(B6)l(B[r(B6)])])]H2H2)])])]
153,2546.6225334916153,C[f(H6B4[r(B6H)]BHH)]<t(B6H6H6HB6H2H6H2)>
154,2546.5231383645096,C[f(H6H4H)]<t(B4[r(B6HB4)]BHH2H2H6)>
155,2545.558685988958,C[r(B6[r(B4)l(B6[b(B6[b(B2)r(B2H2H2H2)]H4)])]H)f(H2H2H2)]
156,2545.392793866867,C[f(H)]<t(B[t(B2[t(B2[r(B4)l(B6[b(B4H)]HH2)]H4)])b(B4)]H6H)>
157,2545.1355188337675,C[r(B2H4H4B[r(BH6)]H2B2H2)f(H2)]<t(B6)>
158,2545.023290537405,C<t(B6[b(B4[l(B4B2[t(B4[l(B2[r(B6)]H4)]HH6H6)])]H2)r(BH4)])>
159,2544.0283831753973,C[f(B6[l(B2[t(B2)])]B6[l(B2[l(B4)t(B6)]H4)]H2B4H4H2H6H4)]
160,2543.7186717692853,C[f(BH6H4H)r(B[l(B2)t(B6[l(B2H2H4)]H)]HH4)]
161,2543.647421610198,C[l(B6[l(B2[b(B2[l(B6H2H4)]HH2H4H)])])f(HB2HH2H2H2H6)]
162,2543.37156964519,C[l(B2[r(B4[b(B6)]H2)]H4)f(H6H6H2HH4H2)]<t(B6[b(B4)])>
163,2543.134519910611,C[l(B2[l(B4H2H4H4H4)b(B6[l(B2H)]HH)]H2)f(H)]
164,2543.088892244844,C[f(H2B4[b(B)t(B2[r(B6[b(B4[t(B)])]H4B4[r(B6)])]H4)]HBH6B)]
165,2541.8025510126618,C[f(H2H4H6B6H2H4)]
